gr_year,squirrel_id,N
KL_2004,6538,38
KL_2004,6523,32
KL_2004,6424,59
KL_2004,7166,26
KL_2004,6529,54
KL_2004,6047,51
KL_2004,6358,132
KL_2004,6070,96
KL_2004,6507,74
KL_2004,6124,74
KL_2004,6048,34
KL_2004,6391,58
KL_2004,6130,91
KL_2004,8727,109
KL_2004,6129,45
KL_2004,7833,53
KL_2004,7830,47
KL_2004,6118,94
KL_2004,6076,94
KL_2004,6116,45
KL_2004,6128,76
KL_2004,6163,75
KL_2004,6122,38
KL_2004,6117,57
KL_2004,7451,83
SU_2004,6398,293
SU_2004,6508,405
SU_2004,7643,69
SU_2004,6338,402
SU_2004,6347,365
SU_2004,6373,34
SU_2004,6495,49
SU_2004,6502,38
SU_2004,7172,31
SU_2004,7553,369
SU_2004,6834,41
SU_2004,6063,37
SU_2004,6069,27
SU_2004,6166,26
SU_2004,6346,93
SU_2004,6841,69
SU_2004,10296,51
SU_2004,6348,434
SU_2004,7022,35
SU_2004,7068,221
SU_2004,5957,48
SU_2004,6232,76
SU_2004,6510,163
SU_2004,6760,33
SU_2004,6170,110
SU_2004,6458,274
SU_2004,6953,51
SU_2004,7247,62
SU_2004,7926,46
SU_2004,7387,49
SU_2004,7278,49
SU_2004,7884,85
SU_2004,6569,340
SU_2004,7024,22
SU_2004,7423,169
SU_2004,6056,125
SU_2004,6016,79
SU_2004,6143,108
SU_2004,6180,136
SU_2004,6064,66
SU_2004,6049,31
SU_2004,7950,64
SU_2004,8398,66
SU_2004,6081,63
SU_2004,6113,62
SU_2004,6114,56
SU_2004,7135,76
SU_2004,8443,65
SU_2004,6528,57
SU_2004,6112,52
KL_2004,5927,24
KL_2004,6015,40
SU_2004,7768,98
SU_2004,5990,23
SU_2004,6666,61
KL_2005,6500,72
KL_2005,6501,94
KL_2005,6529,172
KL_2005,6770,38
KL_2005,7827,83
KL_2005,6383,67
KL_2005,6438,34
KL_2005,6803,36
KL_2005,6538,67
KL_2005,6868,28
KL_2005,7897,35
